"month(e.created_at)","Location"
7,POINT(22.007379 50.039281166667)
7,POINT(21.9957035 50.040087333333)
7,POINT(22.0077865 50.0388755)
7,POINT(21.99579 50.0401855)
7,POINT(22.015880833333 50.026926333333)
7,POINT(22.004854666667 50.030574)
7,POINT(22.015835666667 50.026839)
7,POINT(22.003833833333 50.037646166667)
7,POINT(21.998926833333 50.041639166667)
7,POINT(22.0133225 50.0282065)
7,POINT(22.012972333333 50.0279675)
7,POINT(22.012345833333 50.040038)
7,POINT(22.000129333333 50.03463)
7,POINT(21.978092833333 50.053938666667)
7,POINT(21.977845333333 50.053501833333)
7,POINT(21.978301333333 50.055147666667)
7,POINT(21.978321 50.055191333333)
7,POINT(22.009024166667 50.0295395)
7,POINT(22.003872833333 50.0376395)
7,POINT(22.005555 50.038293666667)
7,POINT(21.999204166667 50.047238)
7,POINT(22.003553 50.037474833333)
7,POINT(22.0010505 50.034595)
7,POINT(22.005177333333 50.030659833333)
7,POINT(21.9955515 50.023360333333)
7,POINT(21.9992575 50.031673666667)
7,POINT(22.0087415 50.037404333333)
7,POINT(21.993478333333 50.040175333333)
7,POINT(22.007982666667 50.038748166667)
7,POINT(21.992827666667 50.0402815)
7,POINT(22.0079595 50.0387185)
7,POINT(21.993322666667 50.0401685)
7,POINT(22.012619333333 50.0334885)
7,POINT(22.0011645 50.036103)
7,POINT(22.000988666667 50.036172333333)
7,POINT(22.009713666667 50.0364895)
7,POINT(22.009108166667 50.029526)
7,POINT(22.009915833333 50.037079166667)
7,POINT(22.009844 50.037077833333)
7,POINT(22.013133833333 50.028040666667)
7,POINT(22.0156945 50.027971666667)
7,POINT(22.014959833333 50.027556)
7,POINT(21.9934105 50.0402155)
7,POINT(22.015818833333 50.026831666667)
7,POINT(22.005134833333 50.033573666667)
7,POINT(22.0048255 50.033592)
7,POINT(21.991686833333 50.031245166667)
7,POINT(22.002664666667 50.037946333333)
7,POINT(22.017542333333 50.019342833333)
